ANO,MES,MUNICIPIO,TOTAL,AUTOMOVEL,BONDE,CAMINHAO,CAMINHAO_TRATOR,CAMINHONETE,CAMIONETA,CHASSI_PLATAF,CICLOMOTOR,MICRO_ONIBUS,MOTOCICLETA,MOTONETA,ONIBUS,OUTROS,QUADRICICLO,REBOQUE,SEMI_REBOQUE,SIDE_CAR,TRATOR_ESTEI,TRATOR_RODAS,TRICICLO,UTILITARIO
2010,6,ABAIARA,932,163,0,11,0,74,10,0,0,24,604,32,4,0,0,10,0,0,0,0,0,0
2010,6,ACARAPE,1376,519,0,87,1,51,24,0,0,18,526,25,111,0,0,10,1,0,0,0,0,3
2010,6,ACARAU,5890,1158,0,158,0,587,63,0,0,17,3269,557,35,1,0,27,0,0,0,0,0,18
2010,6,ACOPIARA,7333,1156,0,243,3,459,42,0,10,19,4779,582,28,0,0,6,2,0,0,0,1,3
2010,6,AIUABA,1154,92,0,15,1,44,9,0,0,1,956,35,0,0,0,0,1,0,0,0,0,0
2010,6,ALCANTARAS,1669,196,0,39,0,94,15,0,0,1,1211,107,6,0,0,0,0,0,0,0,0,0
2010,6,ALTANEIRA,792,149,0,12,0,56,15,0,0,6,508,43,2,0,0,1,0,0,0,0,0,0
2010,6,ALTO SANTO,2276,356,0,110,1,121,15,0,0,4,1469,178,11,0,0,5,2,0,0,0,1,3
2010,6,AMONTADA,3474,515,0,136,4,315,39,0,1,12,2259,169,11,0,0,5,0,0,0,0,0,8
2010,6,ANTONINA DO NORTE,945,134,0,25,0,64,7,0,0,2,661,48,1,0,0,2,0,0,0,0,0,1
2010,6,APUIARES,1590,192,0,58,0,91,9,0,0,6,1085,139,1,0,0,5,0,0,0,0,0,4
2010,6,AQUIRAZ,8744,3707,0,422,16,505,264,0,3,92,3437,67,44,1,0,105,24,2,0,2,1,52
2010,6,ARACATI,10864,3974,0,379,24,640,288,0,45,59,4131,1097,73,0,0,88,25,2,0,0,1,38
2010,6,ARACOIABA,2754,712,0,90,3,111,16,0,0,7,1759,28,9,0,0,16,1,0,0,0,0,2
