MUNICIPIO,POPULACAO
ABAIARA,11605
ACARAPE,16543
ACARAU,62199
ACOPIARA,53572
AIUABA,17194
ALCANTARAS,11459
ALTANEIRA,7479
ALTO SANTO,16976
AMONTADA,42901
ANTONINA DO NORTE,7278
APUIARES,14719
AQUIRAZ,79128
ARACATI,73629
ARACOIABA,26269
ARARENDA,10823
ARARIPE,21398
ARATUBA,11244
ARNEIROZ,7777
ASSARE,23254
AURORA,24496
BAIXIO,6228
BANABUIU,18027
BARBALHA,59811
BARREIRA,20978
BARRO,22440
BARROQUINHA,14880
BATURITE,35351
BEBERIBE,53110
BELA CRUZ,32378
BOA VIAGEM,54049
BREJO SANTO,48830
CAMOCIM,62985
CAMPOS SALES,27209
CANINDE,77514
CAPISTRANO,17668
CARIDADE,22320
CARIRE,18660
CARIRIACU,26892
CARIUS,18804
CARNAUBAL,17631
CASCAVEL,71079
CATARINA,20451
CATUNDA,10365
CAUCAIA,362223
CEDRO,25063
CHAVAL,12952
CHORO,13384
CHOROZINHO,19197
COREAU,23107
CRATEUS,74426
CRATO,130604
CROATA,17874
CRUZ,23983
DEPUTADO IRAPUAN PINHEIRO,9521
ERERE,7163
EUSEBIO,52667
FARIAS BRITO,18720
FORQUILHA,24047
FORTALEZA,2627482
FORTIM,16272
FRECHEIRINHA,13669
GENERAL SAMPAIO,6922
GRACA,15307
GRANJA,54365
GRANJEIRO,4425
GROAIRAS,11012
GUAIUBA,26331
GUARACIABA DO NORTE,39445
GUARAMIRANGA,3547
HIDROLANDIA,20215
HORIZONTE,65928
IBARETAMA,13218
IBIAPINA,24825
IBICUITINGA,12350
ICAPUI,19685
ICO,67486
IGUATU,102614
INDEPENDENCIA,25967
IPAPORANGA,11499
IPAUMIRIM,12349
IPU,41576
IPUEIRAS,37896
IRACEMA,14125
IRAUCUBA,23858
ITAICABA,7738
ITAITINGA,39310
ITAPAJE,51945
ITAPIPOCA,127465
ITAPIUNA,20014
ITAREMA,41230
ITATIRA,20675
JAGUARETAMA,17958
JAGUARIBARA,11295
JAGUARIBE,34448
JAGUARUANA,33740
JARDIM,27076
JATI,7847
JIJOCA DE JERICOACOARA,19510
JUAZEIRO DO NORTE,270383
JUCAS,24597
LAVRAS DA MANGABEIRA,31335
LIMOEIRO DO NORTE,58915
MADALENA,19800
MARACANAU,224804
MARANGUAPE,126486
MARCO,26981
MARTINOPOLE,11082
MASSAPE,38210
MAURITI,46548
MERUOCA,14948
MILAGRES,28231
MILHA,13136
MIRAIMA,13583
MISSAO VELHA,35409
MOMBACA,43735
MONSENHOR TABOSA,17038
MORADA NOVA,61548
MORAUJO,8636
MORRINHOS,22222
MUCAMBO,14377
MULUNGU,12831
NOVA OLINDA,15433
NOVA RUSSAS,32035
NOVO ORIENTE,28353
OCARA,25394
OROS,21292
PACAJUS,70911
PACATUBA,82824
PACOTI,11960
PACUJA,6202
PALHANO,9285
PALMACIA,13145
PARACURU,33894
PARAIPABA,32515
PARAMBU,31137
PARAMOTI,11578
PEDRA BRANCA,42841
PENAFORTE,8956
PENTECOSTE,37077
PEREIRO,16163
PINDORETAMA,20644
PIQUET CARNEIRO,16731
PIRES FERREIRA,10784
PORANGA,12243
PORTEIRAS,14921
POTENGI,10918
POTIRETAMA,6356
QUITERIANOPOLIS,20860
QUIXADA,86605
QUIXELO,14860
QUIXERAMOBIM,78658
QUIXERE,21876
REDENCAO,27441
RERIUTABA,18769
RUSSAS,76475
SABOEIRO,15678
SALITRE,16331
SANTA QUITERIA,43360
SANTANA DO ACARAU,32023
SANTANA DO CARIRI,17489
SAO BENEDITO,46648
SAO GONCALO DO AMARANTE,48265
SAO JOAO DO JAGUARIBE,7621
SAO LUIS DO CURU,12849
SENADOR POMPEU,26447
SENADOR SA,7513
SOBRAL,205529
SOLONOPOLE,18158
TABULEIRO DO NORTE,30489
TAMBORIL,25525
TARRAFAS,8852
TAUA,58119
TEJUCUOCA,18902
TIANGUA,74719
TRAIRI,55207
TURURU,15935
UBAJARA,34332
UMARI,7671
UMIRIM,19679
URUBURETAMA,21609
URUOCA,13677
VARJOTA,18239
VARZEA ALEGRE,40440
VICOSA DO CEARA,60030
