QUESTÃO 5
NOME,POPULAÇÃO,POPULAÇÃO/ESTADO,AUTOMÓVEIS2018,AUTOMÓVEIS/ESTADO,ÔNIBUS2018,ÔNIBUS/ESTADO,CAMINHÃO2018,CAMINHÃO/ESTADO
ABAIARA,11605,0.1286519756198686,526,0.04700302123982532,8,0.045341192473362046,44,0.06028057869355546,
ACARAPE,16543,0.18339419497453568,1052,0.09400604247965064,115,0.6517796418045795,100,0.13700131521262604,
ACARAU,62199,0.6895324628677474,3201,0.28603929845756815,74,0.41940603037859897,258,0.3534633932485752,
ACOPIARA,53572,0.5938943246796726,3053,0.2728141137741192,61,0.34572659260938565,419,0.5740355107409031,
AIUABA,17194,0.19061112182748996,406,0.03627989852351536,7,0.03967354341419179,39,0.053430512932924154,
ALCANTARAS,11459,0.12703343288479746,636,0.056832550396442784,24,0.13602357742008614,60,0.08220078912757563,
ALTANEIRA,7479,0.08291151449039184,354,0.03163321201311438,6,0.034005894355021535,48,0.0657606313020605,
ALTO SANTO,16976,0.18819439363402754,748,0.06684079826499874,24,0.13602357742008614,162,0.2219421306444542,
AMONTADA,42901,0.4755965882006018,1612,0.14404728182243046,49,0.27771480389934255,217,0.2972928540113985,
ANTONINA DO NORTE,7278,0.08068324675238292,461,0.04119466310182409,8,0.045341192473362046,69,0.09453090749671197,
APUIARES,14719,0.1631734966952905,775,0.06925350087616848,17,0.09635003400589436,106,0.1452213941253836,
AQUIRAZ,79128,0.8772058187719917,9075,0.8109361554209407,140,0.7934708682838358,860,1.1782113108285839,
ARACATI,73629,0.8162444043873593,7449,0.6656378426149407,165,0.9351620947630923,605,0.8288579570363875,
ARACOIABA,26269,0.29121574731222133,1617,0.1444940786022767,39,0.22103831330763998,142,0.19454186760192899,
ARARENDA,10823,0.11998279466900802,493,0.04405416249284008,18,0.1020176830650646,39,0.053430512932924154,
ARARIPE,21398,0.23721628387022392,1236,0.11044816397799258,65,0.36839718884606665,131,0.1794717229285401,
ARATUBA,11244,0.124649962418768,485,0.043339287645086086,20,0.11335298118340513,92,0.12604120999561597,
ARNEIROZ,7777,0.0862151154154001,261,0.02332279190797416,5,0.028338245295851282,44,0.06028057869355546,
ASSARE,23254,0.25779173124208743,1015,0.09069974630878841,16,0.09068238494672409,129,0.1767316966242876,
AURORA,24496,0.2715604303993366,1136,0.10151222838106762,21,0.11902063024257538,119,0.163031565103025,
BAIXIO,6228,0.06904304215084374,497,0.04441159991671708,19,0.10768533212423487,26,0.03562034195528277,
BANABUIU,18027,0.19984568414471104,811,0.07247043769106147,30,0.1700294717751077,217,0.2972928540113985,
BARBALHA,59811,0.663059311831104,6173,0.5516153043981782,109,0.6177737474495579,421,0.5767755370451556,
BARREIRA,20978,0.23256020202960825,2054,0.1835441171608388,25,0.14169122647925642,172,0.2356422621657168,
BARRO,22440,0.2487678011986085,1419,0.12680092612036525,20,0.11335298118340513,114,0.1561814993423937,
BARROQUINHA,14880,0.1649583280675265,418,0.037352210795146355,9,0.0510088415325323,64,0.08768084173608066,
BATURITE,35351,0.391897974160963,2472,0.22089632795598516,43,0.243708909544321,236,0.32332310390179747,
BEBERIBE,53110,0.5887726346549954,5298,0.4734258679250847,103,0.5837678530945364,336,0.4603244191144235,
BELA CRUZ,32378,0.35893956627489065,1601,0.1430643289067687,46,0.2607118567218318,149,0.2041319596668128,
BOA VIAGEM,54049,0.5991823033415148,3425,0.3060557941946801,93,0.5270913625028338,645,0.883658483121438,
BREJO SANTO,48830,0.5413249435172929,5275,0.47137060273779197,72,0.4080707322602584,595,0.815157825515125,
CAMOCIM,62985,0.6982459874551852,3574,0.31937033823409827,42,0.23804126048515076,253,0.3466133274879439,
CAMPOS SALES,27209,0.30163650190788494,2102,0.18783336624736277,67,0.37973248696440715,276,0.3781236299868479,
CANINDE,77514,0.8593131614130544,5388,0.48146820996231715,207,1.173203355248243,641,0.8781784305129329,
CAPISTRANO,17668,0.19586584276189903,973,0.08694665335807991,24,0.13602357742008614,80,0.10960105217010083,
CARIDADE,22320,0.24743749210128976,1031,0.0921294960042964,20,0.11335298118340513,87,0.11919114423498466,
CARIRE,18660,0.20686306463306747,904,0.08078085779620169,32,0.18136476989344819,95,0.13015124945199474,
CARIRIACU,26892,0.29812226870913455,1553,0.13877507982024473,15,0.08501473588755384,104,0.14248136782113108,
CARIUS,18804,0.20845943554985,695,0.06210475239862851,8,0.045341192473362046,59,0.08083077597544937,
CARNAUBAL,17631,0.1954556641235591,1128,0.10079735353331361,14,0.07934708682838358,85,0.11645111793073214,
CASCAVEL,71079,0.7879753360693357,8468,0.7566950263476061,181,1.0258444797098163,565,0.7740574309513372,
CATARINA,20451,0.22671792791055,519,0.04637750574804057,2,0.011335298118340512,59,0.08083077597544937,
CATUNDA,10365,0.11490544828090807,457,0.04083722567794709,8,0.045341192473362046,53,0.0726106970626918,
CAUCAIA,362223,4.015571267984116,41760,3.7316467052758657,470,2.6637950578100202,2139,2.930458132398071,
CEDRO,25063,0.27784614088416776,1576,0.14083034500753747,45,0.2550442076626615,136,0.1863217886891714,
CHAVAL,12952,0.14358469523727171,299,0.02671844743480565,11,0.06234413965087282,42,0.05754055238930294,
CHORO,13384,0.14837380798761926,488,0.04360736571299383,104,0.5894355021537067,81,0.1109710653222271,
CHOROZINHO,19197,0.21281619784356895,2540,0.22697276416189413,45,0.2550442076626615,155,0.21235203857957036,
COREAU,23107,0.256162102597872,1076,0.09615066702291264,45,0.2550442076626615,113,0.15481148619026744,
CRATEUS,74426,0.8250798739753848,6667,0.5957588262469875,133,0.7537973248696441,446,0.6110258658483121,
CRATO,130604,1.4478640778851632,17141,1.5317087206689084,158,0.8954885513489005,1181,1.6179855326611134,
CROATA,17874,0.1981495400456296,1143,0.10213774387285236,17,0.09635003400589436,80,0.10960105217010083,
CRUZ,23983,0.2658733590082989,2119,0.18935247529884003,121,0.685785536159601,215,0.29455282770714597,
DEPUTADO IRAPUAN PINHEIRO,9521,0.10554894096309944,443,0.039586194694377595,15,0.08501473588755384,29,0.039730381411661554,
ERERE,7163,0.07940836720078577,169,0.015101731158803193,6,0.034005894355021535,9,0.012330118369136344,
EUSEBIO,52667,0.5838615769040603,10534,0.9413114557800759,144,0.8161414645205168,1761,2.4125931608943447,
FARIAS BRITO,18720,0.20752821918172687,810,0.07238107833509222,24,0.13602357742008614,138,0.18906181499342395,
